datum,fullDepo,balance,equity,hozamManual,hozamRobot
2018.10.30 02:24,1056.40,1037.73,1037.73,-55.08,36.41
2018.10.30 02:45,1056.40,1031.53,1031.53,-55.08,30.21
2018.10.30 03:16,1056.33,1031.46,1031.46,-55.08,30.21
2018.10.30 04:19,1056.24,1031.37,1031.37,-55.08,30.21
2018.10.31 04:35,1056.24,1030.06,1030.06,-55.08,28.90
2018.10.31 11:42,1056.24,1032.35,1032.35,-55.08,31.19
2018.10.31 11:42,1056.24,1038.75,1038.75,-55.08,37.59
2018.10.31 15:13,1056.24,1039.38,1039.38,-55.08,38.22
2018.10.31 17:04,1056.24,1032.73,1032.73,-55.08,31.57
2018.10.31 17:44,1056.24,1021.65,1021.65,-66.16,31.57
2018.10.31 19:36,1056.24,1025.85,1025.85,-61.96,31.57
2018.10.31 21:22,1056.24,1023.26,1023.26,-64.55,31.57
2018.10.31 21:22,1056.24,1020.70,1020.70,-67.11,31.57
2018.10.31 21:34,1056.24,1015.08,1015.08,-72.73,31.57
2018.11.02 09:54,1056.24,1013.22,1013.22,-72.73,29.71
2018.11.02 10:57,1056.24,1013.39,1013.39,-72.73,29.88
2018.11.07 14:59,1056.24,1010.66,1010.66,-72.73,27.15
2018.11.07 20:47,1056.24,1008.93,1008.93,-72.73,25.42
2018.11.07 20:47,1056.24,1007.22,1007.22,-72.73,23.71
2018.11.07 20:53,1056.24,1007.19,1007.19,-72.73,23.68
2018.11.07 20:53,1056.24,1007.18,1007.18,-72.73,23.67
2018.11.08 11:40,1056.24,1003.91,1003.91,-72.73,20.40
2018.11.12 18:14,1056.24,1011.09,1011.09,-72.73,27.58
2018.11.12 19:09,1056.24,1014.16,1014.16,-72.73,30.65
2018.11.14 16:53,1742.21,1700.13,1700.13,-72.73,30.65
2018.11.14 18:21,1742.21,1693.06,1693.06,-79.80,30.65
2018.11.14 20:01,1742.21,1689.38,1689.38,-79.80,26.97
2018.11.14 20:01,1742.21,1685.65,1685.65,-79.80,23.24
2018.11.14 21:15,1742.21,1683.55,1683.55,-79.80,21.14
2018.11.14 21:15,1742.21,1681.49,1681.49,-79.80,19.08
2018.11.15 17:02,1742.21,1679.77,1679.77,-79.80,17.36
2018.11.15 17:02,1742.21,1678.05,1678.05,-79.80,15.64
2018.11.19 20:20,1742.21,1679.22,1679.22,-79.80,16.81
2018.11.20 16:39,1742.21,1679.93,1679.93,-79.80,17.52
2018.11.20 16:39,1742.21,1680.59,1680.59,-79.80,18.18
2018.11.27 18:04,1742.21,1680.67,1680.67,-79.72,18.18
2018.11.28 18:46,1742.21,1681.15,1681.15,-79.24,18.18
2018.11.29 01:00,1742.21,1681.21,1681.21,-79.24,18.24
2018.11.29 01:00,1742.21,1684.52,1684.52,-79.24,21.55
2018.11.29 07:03,1742.54,1684.85,1684.85,-79.24,21.55
